code,label,description,parent,kind,in_plot
M070,M07.0,Distal interphalangeal psoriatic arthropathy,M07,subcategory,1
M0709,M07.09,Distal interphalangeal psoriatic arthropathy (Site unspecified),M070,extension,1
M071,M07.1,Arthritis mutilans,M07,subcategory,1
M072,M07.2,Psoriatic spondylitis,M07,subcategory,1
M0720,M07.20,Psoriatic spondylitis (Multiple sites),M072,extension,1
M0726,M07.26,Psoriatic spondylitis (Lower leg),M072,extension,1
M0728,M07.28,Psoriatic spondylitis (Other),M072,extension,1
M0729,M07.29,Psoriatic spondylitis (Site unspecified),M072,extension,1
M073,M07.3,Other psoriatic arthropathies,M07,subcategory,1
M0730,M07.30,Other psoriatic arthropathies (Multiple sites),M073,extension,1
M0731,M07.31,Other psoriatic arthropathies (Shoulder region),M073,extension,1
M0733,M07.33,Other psoriatic arthropathies (Forearm),M073,extension,1
M0734,M07.34,Other psoriatic arthropathies (Hand),M073,extension,1
M0735,M07.35,Other psoriatic arthropathies (Pelvic region and thigh),M073,extension,1
M0736,M07.36,Other psoriatic arthropathies (Lower leg),M073,extension,1
M0737,M07.37,Other psoriatic arthropathies (Ankle and foot),M073,extension,1
M0738,M07.38,Other psoriatic arthropathies (Other),M073,extension,1
M0739,M07.39,Other psoriatic arthropathies (Site unspecified),M073,extension,1
M074,M07.4,Arthropathy in Crohn's disease [regional enteritis],M07,subcategory,1
M0740,M07.40,Arthropathy in Crohn's disease [regional enteritis] (Multiple sites),M074,extension,1
M0741,M07.41,Arthropathy in Crohn's disease [regional enteritis] (Shoulder region),M074,extension,1
M0749,M07.49,Arthropathy in Crohn's disease [regional enteritis] (Site unspecified),M074,extension,1
M075,M07.5,Arthropathy in ulcerative colitis,M07,subcategory,1
M076,M07.6,Other enteropathic arthropathies,M07,subcategory,1
M08,M08,Juvenile arthritis,M05-M14,category,1
M080,M08.0,Juvenile rheumatoid arthritis,M08,subcategory,1
M0800,M08.00,Juvenile rheumatoid arthritis (Multiple sites),M080,extension,1
M0804,M08.04,Juvenile rheumatoid arthritis (Hand),M080,extension,1
M0805,M08.05,Juvenile rheumatoid arthritis (Pelvic region and thigh),M080,extension,1
M0806,M08.06,Juvenile rheumatoid arthritis (Lower leg),M080,extension,1
M0808,M08.08,Juvenile rheumatoid arthritis (Other),M080,extension,1
M0809,M08.09,Juvenile rheumatoid arthritis (Site unspecified),M080,extension,1
M081,M08.1,Juvenile ankylosing spondylitis,M08,subcategory,0
M0810,M08.10,Juvenile ankylosing spondylitis (Multiple sites),M081,extension,1
M082,M08.2,Juvenile arthritis with systemic onset,M08,subcategory,1
M0820,M08.20,Juvenile arthritis with systemic onset (Multiple sites),M082,extension,1
M0822,M08.22,Juvenile arthritis with systemic onset (Upper arm),M082,extension,1
M0826,M08.26,Juvenile arthritis with systemic onset (Lower leg),M082,extension,1
M0829,M08.29,Juvenile arthritis with systemic onset (Site unspecified),M082,extension,1
M084,M08.4,Pauciarticular juvenile arthritis,M08,subcategory,0
M0844,M08.44,Pauciarticular juvenile arthritis (Hand),M084,extension,1
M089,M08.9,"Juvenile arthritis, unspecified",M08,subcategory,1
M0890,M08.90,"Juvenile arthritis, unspecified (Multiple sites)",M089,extension,1
M0899,M08.99,"Juvenile arthritis, unspecified (Site unspecified)",M089,extension,1
M09,M09,Juvenile arthritis in diseases classified elsewhere,M05-M14,category,0
M090,M09.0,Juvenile arthritis in psoriasis,M09,subcategory,1
M0909,M09.09,Juvenile arthritis in psoriasis (Site unspecified),M090,extension,1
M092,M09.2,Juvenile arthritis in ulcerative colitis,M09,subcategory,1
M10,M10,Gout,M05-M14,category,1
M100,M10.0,Idiopathic gout,M10,subcategory,1
M1000,M10.00,Idiopathic gout (Multiple sites),M100,extension,1
M1001,M10.01,Idiopathic gout (Shoulder region),M100,extension,1
M1002,M10.02,Idiopathic gout (Upper arm),M100,extension,1
M1003,M10.03,Idiopathic gout (Forearm),M100,extension,1
M1004,M10.04,Idiopathic gout (Hand),M100,extension,1
M1006,M10.06,Idiopathic gout (Lower leg),M100,extension,1
M1007,M10.07,Idiopathic gout (Ankle and foot),M100,extension,1
M1009,M10.09,Idiopathic gout (Site unspecified),M100,extension,1
M101,M10.1,Lead-induced gout,M10,subcategory,1
M102,M10.2,Drug-induced gout,M10,subcategory,1
M1029,M10.29,Drug-induced gout (Site unspecified),M102,extension,1
M103,M10.3,Gout due to impairment of renal function,M10,subcategory,1
M1039,M10.39,Gout due to impairment of renal function (Site unspecified),M103,extension,1
M104,M10.4,Other secondary gout,M10,subcategory,1
M1040,M10.40,Other secondary gout (Multiple sites),M104,extension,1
M1045,M10.45,Other secondary gout (Pelvic region and thigh),M104,extension,1
M109,M10.9,"Gout, unspecified",M10,subcategory,1
M1090,M10.90,"Gout, unspecified (Multiple sites)",M109,extension,1
M1091,M10.91,"Gout, unspecified (Shoulder region)",M109,extension,1
M1092,M10.92,"Gout, unspecified (Upper arm)",M109,extension,1
M1093,M10.93,"Gout, unspecified (Forearm)",M109,extension,1
M1094,M10.94,"Gout, unspecified (Hand)",M109,extension,1
M1095,M10.95,"Gout, unspecified (Pelvic region and thigh)",M109,extension,1
M1096,M10.96,"Gout, unspecified (Lower leg)",M109,extension,1
M1097,M10.97,"Gout, unspecified (Ankle and foot)",M109,extension,1
M1099,M10.99,"Gout, unspecified (Site unspecified)",M109,extension,1
M11,M11,Other crystal arthropathies,M05-M14,category,1
M110,M11.0,Hydroxyapatite deposition disease,M11,subcategory,0
M1107,M11.07,Hydroxyapatite deposition disease (Ankle and foot),M110,extension,1
M111,M11.1,Familial chondrocalcinosis,M11,subcategory,1
M1116,M11.16,Familial chondrocalcinosis (Lower leg),M111,extension,1
M112,M11.2,Other chondrocalcinosis,M11,subcategory,1
M1120,M11.20,Other chondrocalcinosis (Multiple sites),M112,extension,1
M1121,M11.21,Other chondrocalcinosis (Shoulder region),M112,extension,1
M1123,M11.23,Other chondrocalcinosis (Forearm),M112,extension,1
M1124,M11.24,Other chondrocalcinosis (Hand),M112,extension,1
M1125,M11.25,Other chondrocalcinosis (Pelvic region and thigh),M112,extension,1
M1126,M11.26,Other chondrocalcinosis (Lower leg),M112,extension,1
M1127,M11.27,Other chondrocalcinosis (Ankle and foot),M112,extension,1
M1128,M11.28,Other chondrocalcinosis (Other),M112,extension,1
M1129,M11.29,Other chondrocalcinosis (Site unspecified),M112,extension,1
M118,M11.8,Other specified crystal arthropathies,M11,subcategory,1
M1180,M11.80,Other specified crystal arthropathies (Multiple sites),M118,extension,1
M1182,M11.82,Other specified crystal arthropathies (Upper arm),M118,extension,1
M1183,M11.83,Other specified crystal arthropathies (Forearm),M118,extension,1
M1184,M11.84,Other specified crystal arthropathies (Hand),M118,extension,1
M1185,M11.85,Other specified crystal arthropathies (Pelvic region and thigh),M118,extension,1
M1186,M11.86,Other specified crystal arthropathies (Lower leg),M118,extension,1
M1187,M11.87,Other specified crystal arthropathies (Ankle and foot),M118,extension,1
M1189,M11.89,Other specified crystal arthropathies (Site unspecified),M118,extension,1
M119,M11.9,"Crystal arthropathy, unspecified",M11,subcategory,1
M1190,M11.90,"Crystal arthropathy, unspecified (Multiple sites)",M119,extension,1
M1191,M11.91,"Crystal arthropathy, unspecified (Shoulder region)",M119,extension,1
M1193,M11.93,"Crystal arthropathy, unspecified (Forearm)",M119,extension,1
M1196,M11.96,"Crystal arthropathy, unspecified (Lower leg)",M119,extension,1
M1197,M11.97,"Crystal arthropathy, unspecified (Ankle and foot)",M119,extension,1
M1199,M11.99,"Crystal arthropathy, unspecified (Site unspecified)",M119,extension,1
M12,M12,Other specific arthropathies,M05-M14,category,0
M120,M12.0,Chronic postrheumatic arthropathy [Jaccoud],M12,subcategory,1
M1204,M12.04,Chronic postrheumatic arthropathy [Jaccoud] (Hand),M120,extension,1
M1207,M12.07,Chronic postrheumatic arthropathy [Jaccoud] (Ankle and foot),M120,extension,1
M1209,M12.09,Chronic postrheumatic arthropathy [Jaccoud] (Site unspecified),M120,extension,1
M122,M12.2,Villonodular synovitis (pigmented),M12,subcategory,1
M1223,M12.23,Villonodular synovitis (pigmented) (Forearm),M122,extension,1
M1224,M12.24,Villonodular synovitis (pigmented) (Hand),M122,extension,1
M1226,M12.26,Villonodular synovitis (pigmented) (Lower leg),M122,extension,1
M1227,M12.27,Villonodular synovitis (pigmented) (Ankle and foot),M122,extension,1
M123,M12.3,Palindromic rheumatism,M12,subcategory,1
M1230,M12.30,Palindromic rheumatism (Multiple sites),M123,extension,1
M1231,M12.31,Palindromic rheumatism (Shoulder region),M123,extension,1
M1239,M12.39,Palindromic rheumatism (Site unspecified),M123,extension,1
M125,M12.5,Traumatic arthropathy,M12,subcategory,1
M1253,M12.53,Traumatic arthropathy (Forearm),M125,extension,1
M1255,M12.55,Traumatic arthropathy (Pelvic region and thigh),M125,extension,1
M1256,M12.56,Traumatic arthropathy (Lower leg),M125,extension,1
M1257,M12.57,Traumatic arthropathy (Ankle and foot),M125,extension,1
M128,M12.8,"Other specific arthropathies, not elsewhere classified",M12,subcategory,1
M1280,M12.80,"Other specific arthropathies, not elsewhere classified (Multiple sites)",M128,extension,1
M1288,M12.88,"Other specific arthropathies, not elsewhere classified (Other)",M128,extension,1
M1289,M12.89,"Other specific arthropathies, not elsewhere classified (Site unspecified)",M128,extension,1
M129,M12.9,"Arthropathy, unspecified",M12,subcategory,1
M13,M13,Other arthritis,M05-M14,category,1
M130,M13.0,"Polyarthritis, unspecified",M13,subcategory,1
M1300,M13.00,"Polyarthritis, unspecified (Multiple sites)",M130,extension,1
M1304,M13.04,"Polyarthritis, unspecified (Hand)",M130,extension,1
M1305,M13.05,"Polyarthritis, unspecified (Pelvic region and thigh)",M130,extension,1
M1306,M13.06,"Polyarthritis, unspecified (Lower leg)",M130,extension,1
M1307,M13.07,"Polyarthritis, unspecified (Ankle and foot)",M130,extension,1
M1309,M13.09,"Polyarthritis, unspecified (Site unspecified)",M130,extension,1
M131,M13.1,"Monoarthritis, not elsewhere classified",M13,subcategory,1
M1310,M13.10,"Monoarthritis, not elsewhere classified (Multiple sites)",M131,extension,1
M1311,M13.11,"Monoarthritis, not elsewhere classified (Shoulder region)",M131,extension,1
M1312,M13.12,"Monoarthritis, not elsewhere classified (Upper arm)",M131,extension,1
M1313,M13.13,"Monoarthritis, not elsewhere classified (Forearm)",M131,extension,1
M1314,M13.14,"Monoarthritis, not elsewhere classified (Hand)",M131,extension,1
M1315,M13.15,"Monoarthritis, not elsewhere classified (Pelvic region and thigh)",M131,extension,1
M1316,M13.16,"Monoarthritis, not elsewhere classified (Lower leg)",M131,extension,1
M1317,M13.17,"Monoarthritis, not elsewhere classified (Ankle and foot)",M131,extension,1
M1319,M13.19,"Monoarthritis, not elsewhere classified (Site unspecified)",M131,extension,1
M138,M13.8,Other specified arthritis,M13,subcategory,1
M1380,M13.80,Other specified arthritis (Multiple sites),M138,extension,1
M1381,M13.81,Other specified arthritis (Shoulder region),M138,extension,1
M1382,M13.82,Other specified arthritis (Upper arm),M138,extension,1
M1383,M13.83,Other specified arthritis (Forearm),M138,extension,1
M1384,M13.84,Other specified arthritis (Hand),M138,extension,1
M1385,M13.85,Other specified arthritis (Pelvic region and thigh),M138,extension,1
M1386,M13.86,Other specified arthritis (Lower leg),M138,extension,1
M1387,M13.87,Other specified arthritis (Ankle and foot),M138,extension,1
M1389,M13.89,Other specified arthritis (Site unspecified),M138,extension,1
M139,M13.9,"Arthritis, unspecified",M13,subcategory,1
M1390,M13.90,"Arthritis, unspecified (Multiple sites)",M139,extension,1
M1391,M13.91,"Arthritis, unspecified (Shoulder region)",M139,extension,1
M1392,M13.92,"Arthritis, unspecified (Upper arm)",M139,extension,1
M1393,M13.93,"Arthritis, unspecified (Forearm)",M139,extension,1
M1394,M13.94,"Arthritis, unspecified (Hand)",M139,extension,1
M1395,M13.95,"Arthritis, unspecified (Pelvic region and thigh)",M139,extension,1
M1396,M13.96,"Arthritis, unspecified (Lower leg)",M139,extension,1
M1397,M13.97,"Arthritis, unspecified (Ankle and foot)",M139,extension,1
M1398,M13.98,"Arthritis, unspecified (Other)",M139,extension,1
M1399,M13.99,"Arthritis, unspecified (Site unspecified)",M139,extension,1
M14,M14,Arthropathies in other diseases classified elsewhere,M05-M14,category,1
M142,M14.2,Diabetic arthropathy,M14,subcategory,1
M144,M14.4,Arthropathy in amyloidosis,M14,subcategory,1
M145,M14.5,"Arthropathies in other endocrine, nutritional and metabolic disorders",M14,subcategory,1
M146,M14.6,Neuropathic arthropathy,M14,subcategory,1
M148,M14.8,Arthropathies in other specified diseases classified elsewhere,M14,subcategory,1
M15,M15,Polyarthrosis,M15-M19,category,1
M150,M15.0,Primary generalised (osteo)arthrosis,M15,subcategory,1
M1500,M15.00,"Primary generalized (osteo)arthrosis, Multiple sites",M150,extension,1
M151,M15.1,Heberden's nodes (with arthropathy),M15,subcategory,1
M152,M15.2,Bouchard's nodes (with arthropathy),M15,subcategory,1
M153,M15.3,Secondary multiple arthrosis,M15,subcategory,1
M154,M15.4,Erosive (osteo)arthrosis,M15,subcategory,1
M158,M15.8,Other polyarthrosis,M15,subcategory,1
M159,M15.9,"Polyarthrosis, unspecified",M15,subcategory,1
M1599,M15.99,"Polyosteoarthritis, unspecified",M159,extension,1
M16,M16,Coxarthrosis [arthrosis of hip],M15-M19,category,1
M160,M16.0,"Primary coxarthrosis, bilateral",M16,subcategory,1
M161,M16.1,Other primary coxarthrosis,M16,subcategory,1
M162,M16.2,"Coxarthrosis resulting from dysplasia, bilateral",M16,subcategory,1
M163,M16.3,Other dysplastic coxarthrosis,M16,subcategory,1
M164,M16.4,"Posttraumatic coxarthrosis, bilateral",M16,subcategory,1
M165,M16.5,Other posttraumatic coxarthrosis,M16,subcategory,1
M166,M16.6,"Other secondary coxarthrosis, bilateral",M16,subcategory,1
M167,M16.7,Other secondary coxarthrosis,M16,subcategory,1
M169,M16.9,"Coxarthrosis, unspecified",M16,subcategory,1
M17,M17,Gonarthrosis [arthrosis of knee],M15-M19,category,1
M170,M17.0,"Primary gonarthrosis, bilateral",M17,subcategory,1
M171,M17.1,Other primary gonarthrosis,M17,subcategory,1
M1710,M17.10,"Unilateral primary osteoarthritis, unspecified knee",M171,extension,1
M172,M17.2,"Posttraumatic gonarthrosis, bilateral",M17,subcategory,1
M173,M17.3,Other posttraumatic gonarthrosis,M17,subcategory,1
M174,M17.4,"Other secondary gonarthrosis, bilateral",M17,subcategory,1
M175,M17.5,Other secondary gonarthrosis,M17,subcategory,1
M179,M17.9,"Gonarthrosis, unspecified",M17,subcategory,1
M18,M18,Arthrosis of first carpometacarpal joint,M15-M19,category,1
M180,M18.0,"Primary arthrosis of first carpometacarpal joints, bilateral",M18,subcategory,1
M181,M18.1,Other primary arthrosis of first carpometacarpal joint,M18,subcategory,1
M182,M18.2,"Posttraumatic arthrosis of first carpometacarpal joints, bilateral",M18,subcategory,1
M183,M18.3,Other posttraumatic arthrosis of first carpometacarpal joint,M18,subcategory,1
M185,M18.5,Other secondary arthrosis of first carpometacarpal joint,M18,subcategory,1
M189,M18.9,"Arthrosis of first carpometacarpal joint, unspecified",M18,subcategory,1
M19,M19,Other arthrosis,M15-M19,category,1
M190,M19.0,Primary arthrosis of other joints,M19,subcategory,1
M1900,M19.00,Primary arthrosis of other joints (Multiple sites),M190,extension,1
M1901,M19.01,Primary arthrosis of other joints (Shoulder region),M190,extension,1
M1902,M19.02,Primary arthrosis of other joints (Upper arm),M190,extension,1
M1903,M19.03,Primary arthrosis of other joints (Forearm),M190,extension,1
M1904,M19.04,Primary arthrosis of other joints (Hand),M190,extension,1
M1905,M19.05,Primary arthrosis of other joints (Pelvic region and thigh),M190,extension,1
M1906,M19.06,Primary arthrosis of other joints-Lower leg,M190,extension,1
M1907,M19.07,Primary arthrosis of other joints (Ankle and foot),M190,extension,1
M1908,M19.08,Primary arthrosis of other joints (Other),M190,extension,1
M1909,M19.09,Primary arthrosis of other joints (Site unspecified),M190,extension,1
M191,M19.1,Posttraumatic arthrosis of other joints,M19,subcategory,1
M1910,M19.10,Post-traumatic arthrosis of other joints (Multiple sites),M191,extension,1
M1911,M19.11,Post-traumatic arthrosis of other joints (Shoulder region),M191,extension,1
M1912,M19.12,Post-traumatic arthrosis of other joints (Upper arm),M191,extension,1
M1913,M19.13,Post-traumatic arthrosis of other joints (Forearm),M191,extension,1
M1914,M19.14,Post-traumatic arthrosis of other joints (Hand),M191,extension,1
M1915,M19.15,Post-traumatic arthrosis of other joints (Pelvic region and thigh),M191,extension,1
M1916,M19.16,Post-traumatic arthrosis of other joints-Lower leg,M191,extension,1
M1917,M19.17,Post-traumatic arthrosis of other joints (Ankle and foot),M191,extension,1
M1918,M19.18,Post-traumatic arthrosis of other joints (Other),M191,extension,1
M1919,M19.19,Post-traumatic arthrosis of other joints (Site unspecified),M191,extension,1
M192,M19.2,Other secondary arthrosis,M19,subcategory,1
M1920,M19.20,Other secondary arthrosis (Multiple sites),M192,extension,1
M1921,M19.21,Other secondary arthrosis (Shoulder region),M192,extension,1
M1922,M19.22,Other secondary arthrosis (Upper arm),M192,extension,1
M1923,M19.23,Other secondary arthrosis (Forearm),M192,extension,1
M1924,M19.24,Other secondary arthrosis (Hand),M192,extension,1
M1925,M19.25,Other secondary arthrosis (Pelvic region and thigh),M192,extension,1
M1927,M19.27,Other secondary arthrosis (Ankle and foot),M192,extension,1
M1929,M19.29,Other secondary arthrosis (Site unspecified),M192,extension,1
M198,M19.8,Other specified arthrosis,M19,subcategory,1
M1980,M19.80,Other specified arthrosis (Multiple sites),M198,extension,1
M1981,M19.81,Other specified arthrosis (Shoulder region),M198,extension,1
M1983,M19.83,Other specified arthrosis (Forearm),M198,extension,1
M1984,M19.84,Other specified arthrosis (Hand),M198,extension,1
M1985,M19.85,Other specified arthrosis (Pelvic region and thigh),M198,extension,1
M1986,M19.86,Other specified arthrosis (Lower leg),M198,extension,1
M1987,M19.87,Other specified arthrosis (Ankle and foot),M198,extension,1
M1988,M19.88,Other specified arthrosis (Other),M198,extension,1
M1989,M19.89,Other specified arthrosis (Site unspecified),M198,extension,1
M199,M19.9,"Arthrosis, unspecified",M19,subcategory,1
M1990,M19.90,"Arthrosis, unspecified (Multiple sites)",M199,extension,1
M1991,M19.91,"Arthrosis, unspecified (Shoulder region)",M199,extension,1
M1992,M19.92,"Arthrosis, unspecified (Upper arm)",M199,extension,1
M1993,M19.93,"Arthrosis, unspecified (Forearm)",M199,extension,1
M1994,M19.94,"Arthrosis, unspecified (Hand)",M199,extension,1
M1995,M19.95,"Arthrosis, unspecified (Pelvic region and thigh)",M199,extension,1
M1996,M19.96,"Arthrosis, unspecified-Lower leg",M199,extension,1
M1997,M19.97,"Arthrosis, unspecified (Ankle and foot)",M199,extension,1
M1998,M19.98,"Arthrosis, unspecified (Other)",M199,extension,1
M1999,M19.99,"Arthrosis, unspecified (Site unspecified)",M199,extension,1
M20,M20,Acquired deformities of fingers and toes,M20-M25,category,1
M200,M20.0,Deformity of finger(s),M20,subcategory,1
M2001,M20.01,Mallet finger,M200,extension,1
M201,M20.1,Hallux valgus (acquired),M20,subcategory,1
M2010,M20.10,"Hallux valgus (acquired), unspecified foot",M201,extension,1
M202,M20.2,Hallux rigidus,M20,subcategory,1
M2020,M20.20,"Hallux rigidus, unspecified foot",M202,extension,1
M203,M20.3,Other deformity of hallux (acquired),M20,subcategory,1
M204,M20.4,Other hammer toe(s) (acquired),M20,subcategory,1
M2040,M20.40,"Other hammer toe(s) (acquired), unspecified foot",M204,extension,1
M205,M20.5,Other deformities of toe(s) (acquired),M20,subcategory,1
M206,M20.6,"Acquired deformity of toe(s), unspecified",M20,subcategory,1
M2060,M20.60,"Acquired deformities of toe(s), unspecified, unspecified foot",M206,extension,1
M21,M21,Other acquired deformities of limbs,M20-M25,category,1
M210,M21.0,"Valgus deformity, not elsewhere classified",M21,subcategory,1
M2102,M21.02,"Valgus deformity, not elsewhere classified (Upper arm)",M210,extension,1
M2105,M21.05,"Valgus deformity, not elsewhere classified (Pelvic region and thigh)",M210,extension,1
M2106,M21.06,"Valgus deformity, not elsewhere classified (Lower leg)",M210,extension,1
M2107,M21.07,"Valgus deformity, not elsewhere classified (Ankle and foot)",M210,extension,1
M2109,M21.09,"Valgus deformity, not elsewhere classified (Site unspecified)",M210,extension,1
M211,M21.1,"Varus deformity, not elsewhere classified",M21,subcategory,1
M2111,M21.11,"Varus deformity, not elsewhere classified (Shoulder region)",M211,extension,1
M2112,M21.12,"Varus deformity, not elsewhere classified (Upper arm)",M211,extension,1
M2114,M21.14,"Varus deformity, not elsewhere classified (Hand)",M211,extension,1
M2115,M21.15,"Varus deformity, not elsewhere classified (Pelvic region and thigh)",M211,extension,1
M2116,M21.16,"Varus deformity, not elsewhere classified (Lower leg)",M211,extension,1
M2117,M21.17,"Varus deformity, not elsewhere classified (Ankle and foot)",M211,extension,1
M2119,M21.19,"Varus deformity, not elsewhere classified (Site unspecified)",M211,extension,1
M212,M21.2,Flexion deformity,M21,subcategory,1
M2120,M21.20,Flexion deformity (Multiple sites),M212,extension,1
M2121,M21.21,Flexion deformity (Shoulder region),M212,extension,1
M2122,M21.22,Flexion deformity (Upper arm),M212,extension,1
M2123,M21.23,Flexion deformity (Forearm),M212,extension,1
M2124,M21.24,Flexion deformity (Hand),M212,extension,1
M2125,M21.25,Flexion deformity (Pelvic region and thigh),M212,extension,1
M2126,M21.26,Flexion deformity (Lower leg),M212,extension,1
M2127,M21.27,Flexion deformity (Ankle and foot),M212,extension,1
M2128,M21.28,Flexion deformity (Other),M212,extension,1
M2129,M21.29,Flexion deformity (Site unspecified),M212,extension,1
M213,M21.3,Wrist or foot drop (acquired),M21,subcategory,1
M2133,M21.33,Wrist or foot drop (acquired) (Forearm),M213,extension,1
M2134,M21.34,Wrist or foot drop (acquired) (Hand),M213,extension,1
M2136,M21.36,Wrist or foot drop (acquired)-Lower leg,M213,extension,1
M2137,M21.37,Wrist or foot drop (acquired) (Ankle and foot),M213,extension,1
M214,M21.4,Flat foot [pes planus] (acquired),M21,subcategory,1
M2147,M21.47,Flat foot [pes planus] (acquired)-Ankle/foot,M214,extension,1
M215,M21.5,"Acquired clawhand, clubhand, clawfoot and clubfoot",M21,subcategory,1
M2154,M21.54,"Acquired clawhand, clubhand, clawfoot and clubfoot (Hand)",M215,extension,1
M2157,M21.57,"Acquired clawhand, clubhand, clawfoot and clubfoot (Ankle and foot)",M215,extension,1
M216,M21.6,Other acquired deformities of ankle and foot,M21,subcategory,1
M2161,M21.61,Other acquired deformities of ankle and foot-Shldr region,M216,extension,1
M2162,M21.62,Other acquired deformities of ankle and foot-Upper arm,M216,extension,1
M2167,M21.67,Other acquired deformities of ankle and foot-Ankle/foot,M216,extension,1
M217,M21.7,Unequal limb length (acquired),M21,subcategory,1
M2173,M21.73,Unequal limb length (acquired) (Forearm),M217,extension,1
M2175,M21.75,Unequal limb length (acquired) (Pelvic region and thigh),M217,extension,1
M2176,M21.76,Unequal limb length (acquired) (Lower leg),M217,extension,1
M218,M21.8,Other specified acquired deformities of limbs,M21,subcategory,1
M2180,M21.80,Other specified acquired deformities of limbs (Multiple sites),M218,extension,1
M2182,M21.82,Other specified acquired deformities of limbs (Upper arm),M218,extension,1
M2183,M21.83,Other specified acquired deformities of limbs (Forearm),M218,extension,1
M2184,M21.84,Other specified acquired deformities of limbs (Hand),M218,extension,1
M2185,M21.85,Other specified acquired deformities of limbs (Pelvic region and thigh),M218,extension,1
M2186,M21.86,Other specified acquired deformities of limbs (Lower leg),M218,extension,1
M2187,M21.87,Other specified acquired deformities of limbs (Ankle and foot),M218,extension,1
M219,M21.9,"Acquired deformity of limb, unspecified",M21,subcategory,1
M2191,M21.91,"Acquired deformity of limb, unspecified (Shoulder region)",M219,extension,1
M2192,M21.92,"Acquired deformity of limb, unspecified (Upper arm)",M219,extension,1
M2194,M21.94,"Acquired deformity of limb, unspecified (Hand)",M219,extension,1
M2195,M21.95,"Acquired deformity of limb, unspecified (Pelvic region and thigh)",M219,extension,1
M2196,M21.96,"Acquired deformity of limb, unspecified (Lower leg)",M219,extension,1
M2197,M21.97,"Acquired deformity of limb, unspecified (Ankle and foot)",M219,extension,1
M2199,M21.99,"Acquired deformity of limb, unspecified (Site unspecified)",M219,extension,1
M22,M22,Disorders of patella,M20-M25,category,1
M220,M22.0,Recurrent dislocation of patella,M22,subcategory,1
M221,M22.1,Recurrent subluxation of patella,M22,subcategory,1
M2210,M22.10,"Recurrent subluxation of patella, unspecified knee",M221,extension,1
M222,M22.2,Patellofemoral disorders,M22,subcategory,1
M223,M22.3,Other derangements of patella,M22,subcategory,1
M224,M22.4,Chondromalacia patellae,M22,subcategory,1
M2240,M22.40,"Chondromalacia patellae, unspecified knee",M224,extension,1
M228,M22.8,Other disorders of patella,M22,subcategory,1
M229,M22.9,"Disorder of patella, unspecified",M22,subcategory,1
M23,M23,Internal derangement of knee,M20-M25,category,1
M230,M23.0,Cystic meniscus,M23,subcategory,1
M2300,M23.00,Cystic meniscus (Multiple sites),M230,extension,1
M2301,M23.01,Cystic meniscus (Anterior cruciate ligament or Anterior horn of medial meniscus),M230,extension,1
M2302,M23.02,Cystic meniscus (Posterior cruciate ligament or Posterior horn of medial meniscus),M230,extension,1
M2303,M23.03,Cystic meniscus (Medial collateral ligament or Other and unspecified medial meniscus),M230,extension,1
M2304,M23.04,Cystic meniscus (Lateral collateral ligament or Anterior horn of lateral meniscus),M230,extension,1
M2306,M23.06,Cystic meniscus (Other and unspecified lateral meniscus),M230,extension,1
M2309,M23.09,Cystic meniscus (Unspecified ligament or Unspecified meniscus),M230,extension,1
M231,M23.1,Discoid meniscus (congenital),M23,subcategory,1
M2310,M23.10,Discoid meniscus (congenital) (Multiple sites),M231,extension,1
M2314,M23.14,Discoid meniscus (congenital) (Lateral collateral ligament or Anterior horn of lateral meniscus),M231,extension,1
M2316,M23.16,Discoid meniscus (congenital) (Other and unspecified lateral meniscus),M231,extension,1
M232,M23.2,Derangement of meniscus due to old tear or injury,M23,subcategory,1
M2320,M23.20,Derangement of meniscus due to old tear or injury (Multiple sites),M232,extension,1
M2321,M23.21,Derangement of meniscus due to old tear or injury (Anterior cruciate ligament or Anterior horn of medial meniscus),M232,extension,1
M2322,M23.22,Derangement of meniscus due to old tear or injury (Posterior cruciate ligament or Posterior horn of medial meniscus),M232,extension,1
M2323,M23.23,Derangement of meniscus due to old tear or injury (Medial collateral ligament or Other and unspecified medial meniscus),M232,extension,1
M2324,M23.24,Derangement of meniscus due to old tear or injury (Lateral collateral ligament or Anterior horn of lateral meniscus),M232,extension,1
M2325,M23.25,Derangement of meniscus due to old tear or injury (Posterior horn of lateral meniscus),M232,extension,1
M2326,M23.26,Derangement of meniscus due to old tear or injury (Other and unspecified lateral meniscus),M232,extension,1
M2327,M23.27,Derangement of meniscus due to old tear or injury-Capsular,M232,extension,1
M2329,M23.29,Derangement of meniscus due to old tear or injury (Unspecified ligament or Unspecified meniscus),M232,extension,1
M233,M23.3,Other meniscus derangements,M23,subcategory,1
M2330,M23.30,Other meniscus derangements (Multiple sites),M233,extension,1
M2331,M23.31,Other meniscus derangements (Anterior cruciate ligament or Anterior horn of medial meniscus),M233,extension,1
M2332,M23.32,Other meniscus derangements (Posterior cruciate ligament or Posterior horn of medial meniscus),M233,extension,1
M2333,M23.33,Other meniscus derangements (Medial collateral ligament or Other and unspecified medial meniscus),M233,extension,1
M2334,M23.34,Other meniscus derangements (Lateral collateral ligament or Anterior horn of lateral meniscus),M233,extension,1
M2335,M23.35,Other meniscus derangements (Posterior horn of lateral meniscus),M233,extension,1
M2336,M23.36,Other meniscus derangements (Other and unspecified lateral meniscus),M233,extension,1
